Namespace(batch_size=100, decay_rate=0.1, decay_step=20000, gpu=2, learning_rate=1.0, log_dir='log1002', max_epoch=10000, momentum=0.9)
Loss for Iter 15201: 0.124967, acc = 0.820000
Loss for Iter 15251: 0.114993, acc = 0.880000
Loss for Iter 15301: 0.110667, acc = 0.880000
Loss for Iter 15351: 0.108546, acc = 0.860000
Loss for Iter 15401: 0.123011, acc = 0.800000
Loss for Iter 15451: 0.108178, acc = 0.840000
Loss for Iter 15501: 0.123617, acc = 0.820000
Loss for Iter 15551: 0.109465, acc = 0.900000
Loss for Iter 15601: 0.113220, acc = 0.850000
Loss for Iter 15651: 0.115270, acc = 0.860000
Loss for Iter 15701: 0.104635, acc = 0.850000
Loss for Iter 15751: 0.119861, acc = 0.800000
Loss for Iter 15801: 0.111473, acc = 0.880000
Loss for Iter 15851: 0.126950, acc = 0.790000
Loss for Iter 15901: 0.115100, acc = 0.820000
Loss for Iter 15951: 0.132691, acc = 0.790000
-----------------------------------
Test loss for epoch 15: 0.126075, Acc = 0.824100
Loss for Iter 16001: 0.118442, acc = 0.830000
Loss for Iter 16051: 0.127415, acc = 0.810000
Loss for Iter 16101: 0.125308, acc = 0.810000
Loss for Iter 16151: 0.115631, acc = 0.810000
Loss for Iter 16201: 0.107643, acc = 0.870000
Loss for Iter 16251: 0.109515, acc = 0.880000
Loss for Iter 16301: 0.108226, acc = 0.870000
Loss for Iter 16351: 0.121257, acc = 0.820000
Loss for Iter 16401: 0.099954, acc = 0.920000
Loss for Iter 16451: 0.097389, acc = 0.930000
Loss for Iter 16501: 0.107826, acc = 0.880000
Loss for Iter 16551: 0.118248, acc = 0.900000
Loss for Iter 16601: 0.105040, acc = 0.890000
Loss for Iter 16651: 0.102976, acc = 0.910000
Loss for Iter 16701: 0.105177, acc = 0.870000
Loss for Iter 16751: 0.117939, acc = 0.880000
Loss for Iter 16801: 0.117944, acc = 0.860000
Loss for Iter 16851: 0.124756, acc = 0.800000
Loss for Iter 16901: 0.110338, acc = 0.860000
